Sender Name|Sender AppID|Recipient Name|Recipient AppID|Text|Timestamp|Direction|Attachments
Unmatched Telegram User|1224624669|1224624669| telegram tips|Mini-Game Emoji. There are several emoji which you can send in chat to test your luck: 🎰, 🎲, 🎯, ⚽️ and 🏀.  Go for the jackpot, goal or bullseye – but try not to roll snake eyes 😉|2021-01-12 08:32:11+00:00|Incoming|
Unmatched Telegram User|1224624669|1224624669| telegram tips|Animated emoji. Sending a single emoji in a message will display a stylish animated version. We keep expanding the animated emoji army, adding new ones with every update.|2021-01-12 08:32:25+00:00|Incoming|
Unmatched Telegram User|1224624669|1224624669| telegram tips|Sticker Suggestions. Type any emoji and Telegram will suggest stickers relevant for your situation – from 😍 to 😱  Subscribe to @TrendingStickers to get the latest packs first.|2021-01-12 08:33:06+00:00|Incoming|
Unmatched Telegram User|1224624669|1224624669| telegram tips|Emoji Suggestions. Android users can type any word in the message field to get relevant emoji suggestions.  On all platforms, you can also type : followed by a keyword to search for emoji like :heart   If we’re missing a keyword for an emoji in your language, feel free to suggest it here.|2021-01-12 08:33:31+00:00|Incoming|
Unmatched Telegram User|1224624669|1224624669| telegram tips|Unsend anything. On Telegram you can “unsend” messages you have sent or received for both sides, and there is no time limit.   You can also delete any private chat entirely from both your and the other person's device with just two taps.|2021-01-12 08:34:19+00:00|Incoming|
Unmatched Telegram User|1224624669|1224624669| telegram tips|Edit or Delete Messages to fix typos or remove anything you send by accident. Edited messages show an edited label, and deleted messages leave no trace and no placeholder in the chat.|2021-01-12 08:34:51+00:00|Incoming|
Unmatched Telegram User|1224624669|1224624669| telegram tips|Cloud Themes sync across your devices and have unique, shareable links. Everyone can make them in our Theme Editor.  If you want to take a trip down memory lane, our designers put together this tribute to an app that used to be independent: https://t.me/addtheme/RetroGreen|2021-01-12 09:05:18+00:00|Incoming|
Unmatched Telegram User|1224624669|1224624669| telegram tips|Change Colors. You can choose from dozens of color schemes in Chat Settings (Appearance Settings on iOS).  For more artistic freedom, try the full Theme Editor – or find links to themes created by others.|2021-01-12 09:51:31+00:00|Incoming|
Unmatched Telegram User|1224624669|1224624669| telegram tips|Over the last 7 years, Telegram has protected the private data of people all over the world and redefined what a messaging app can do. Here are some of its features:  • Editing messages  • Moving chat history from other apps • Sending documents and videos up to 2GB • Deleting messages without a trace • Native desktop and tablet apps • Multiple accounts and Chat folders • Usernames instead of phone numbers • Granular privacy settings • Group chats of up to 200,000 members • Admin tools and stats for group owners • Voice Chats for up to 5,000 participants • 20,000+ high-quality Animated stickers • Custom Color Themes like Retro • Video messages  • One-to-many channels • Video editing tools • API and Bot platform for developers • Programmed emoji 🎯🎳⚽️🏀🎲🎰 • Disappearing photos or videos • Self-Destructing end-to-end encrypted Chats • Partial selection for messages • Scheduled and silent messages • Pinned messages and polls • Persistent chat history • Saved Messages and Drafts  • Encrypted Voice and Video Calls  Scroll around in this channel for more features.|2021-01-12 12:53:57+00:00|Incoming|
Unmatched Telegram User|1224624669|1224624669| telegram tips|Delivery status. One check = message delivered. Two checks = message read.  You can use Telegram on any number of devices at once, including computers and tablets. Simply log in using the same phone number to access all your messages – without keeping your phone connected.|2021-01-14 14:32:58+00:00|Incoming|
