Sender;Ngram;Count
Bad Boy;('t', 'm');1
Bad Boy;('s', 'u');4
Bad Boy;('u', 'p');5
Bad Boy;('e', 'x');6
Bad Boy;('x', 'p');2
Bad Boy;('n', 's');4
Bad Boy;('i', 'v');7
Bad Boy;('e', '?');7
Bad Boy;('t', 't');6
Bad Boy;('t', 'p');3
Bad Boy;('p', 's');3
Bad Boy;('s', ':');2
Bad Boy;(':', '/');2
Bad Boy;('/', '/');2
Bad Boy;('/', 'i');2
Bad Boy;('.', 'a');2
Bad Boy;('p', '.');5
Bad Boy;('.', 'g');4
Bad Boy;('g', 'o');9
Bad Boy;('o', 'o');12
Bad Boy;('g', 'l');2
Bad Boy;('l', '/');2
Bad Boy;('/', 'W');1
Bad Boy;('W', '8');1
Bad Boy;('8', 'y');1
Bad Boy;('y', 'K');1
Bad Boy;('K', 'U');1
Bad Boy;('U', 'a');1
Bad Boy;('a', 'P');1
Bad Boy;('P', 's');1
Bad Boy;('s', '6');2
Bad Boy;('6', '9');1
Bad Boy;('9', '7');1
Bad Boy;('7', 'H');1
Bad Boy;('H', 'T');1
Bad Boy;('T', 'j');1
Bad Boy;('j', 'm');1
Bad Boy;('m', 's');2
Bad Boy;('6', ' ');1
Bad Boy;(' ', 'H');5
Bad Boy;('H', 'o');4
Bad Boy;('a', 'b');3
Bad Boy;(' ', '9');1
Bad Boy;('9', '0');1
Bad Boy;('0', '0');9
Bad Boy;('0', 'k');5
Bad Boy;('k', 'r');5
Bad Boy;('s', 'h');14
Bad Boy;('u', 'l');2
Bad Boy;('l', 'd');3
Bad Boy;('u', 'g');2
Bad Boy;('h', ' ');9
Bad Boy;('t', 'l');2
Bad Boy;('l', 'o');8
Bad Boy;('o', 't');10
Bad Boy;(' ', 'f');14
Bad Boy;('f', 'r');3
Bad Boy;('i', 'e');3
Bad Boy;('t', "'");8
Bad Boy;("'", 's');9
Bad Boy;('o', 'd');4
Bad Boy;('d', 'a');3
Bad Boy;('f', 'o');5
Bad Boy;('x', 'c');3
Bad Boy;('n', 'g');26
Bad Boy;('b', 'r');3
Bad Boy;('g', ' ');18
Bad Boy;('h', '.');4
Bad Boy;(' ', 'N');5
Bad Boy;('N', 'e');2
Bad Boy;('x', 't');1
Bad Boy;(' ', '3');2
Bad Boy;('3', '0');3
Bad Boy;('0', ' ');2
Bad Boy;('?', '?');13
Bad Boy;('m', 'o');6
Bad Boy;('e', 'y');3
Bad Boy;(' ', 'B');6
Bad Boy;('B', 'y');1
Bad Boy;('o', 'p');5
Bad Boy;(' ', "'");1
Bad Boy;('y', "'");1
Bad Boy;("'", ' ');1
Bad Boy;(' ', 'P');2
Bad Boy;('P', 'l');2
Bad Boy;('o', 'i');4
Bad Boy;('u', '.');1
Bad Boy;('O', 'n');1
Bad Boy;('l', ',');1
Bad Boy;('r', 'v');3
Bad Boy;('r', '.');1
Bad Boy;('S', 'o');3
Bad Boy;('a', ' ');9
Bad Boy;('d', 'r');1
Bad Boy;('g', 's');3
Bad Boy;(' ', 'W');7
Bad Boy;('W', 'e');2
Bad Boy;('c', 'o');4
Bad Boy;('n', 'v');1
Bad Boy;('n', 'i');4
Bad Boy;('t', '?');1
Bad Boy;('?', '\\');1
Bad Boy;('\\', 'n');2
Bad Boy;('n', 'S');1
Bad Boy;('w', 'h');5
Bad Boy;('a', 't');18
Bad Boy;('o', 'f');8
Bad Boy;('f', ' ');10
Bad Boy;('n', '?');2
Bad Boy;(' ', '≡');1
Bad Boy;('ƒ', 'ñ');1
Bad Boy;('ñ', '¼');1
Bad Boy;('¼', ' ');1
Bad Boy;('f', 'u');1
Bad Boy;('u', 'c');5
Bad Boy;('c', 'k');10
Bad Boy;('f', 'i');1
Bad Boy;(' ', 'J');4
Bad Boy;('J', 'u');3
Bad Boy;(' ', '4');1
Bad Boy;('4', '8');1
Bad Boy;('8', 'h');1
Bad Boy;('h', 'r');5
Bad Boy;('W', 'h');5
Bad Boy;('w', 'e');6
Bad Boy;('d', 'y');1
Bad Boy;(' ', 'M');2
Bad Boy;('M', 'e');1
Bad Boy;(' ', 'G');7
Bad Boy;('G', 'e');2
Bad Boy;('v', 'o');2
Bad Boy;('y', 'i');1
Bad Boy;('m', 'u');4
Bad Boy;('b', 'a');4
Bad Boy;('a', 'c');5
Bad Boy;('B', 'l');1
Bad Boy;('l', 'a');6
Bad Boy;('B', 'M');1
Bad Boy;('M', 'W');1
Bad Boy;('W', ' ');1
Bad Boy;('H', 'e');2
Bad Boy;('G', 'l');1
Bad Boy;('r', 'k');2
Bad Boy;('o', 'g');1
Bad Boy;("'", 'l');1
Bad Boy;('d', 'u');2
Bad Boy;('u', 'e');2
Bad Boy;('e', 'm');2
Bad Boy;('B', 'u');1
Bad Boy;('g', '.');2
Bad Boy;('G', 'o');3
Bad Boy;(' ', '2');2
Bad Boy;('2', ' ');1
Bad Boy;('e', 'k');2
Bad Boy;(' ', 'C');5
Bad Boy;('C', 'a');2
Bad Boy;('M', 'a');1
Bad Boy;('k', '.');2
Bad Boy;('t', 'u');3
Bad Boy;('u', 'f');3
Bad Boy;('f', 'a');1
Bad Boy;('e', 'w');2
Bad Boy;('k', 'a');2
Bad Boy;('N', 'o');2
Bad Boy;('.', 's');1
Bad Boy;('e', 'i');1
Bad Boy;('b', 'i');2
Bad Boy;('d', 'n');2
Bad Boy;('d', '?');1
Bad Boy;('k', 'i');3
Bad Boy;('G', 'i');1
Bad Boy;('p', 'l');4
Bad Boy;('e', '!');1
Bad Boy;('!', ' ');3
Bad Boy;('s', ',');1
Bad Boy;('g', '!');1
Bad Boy;('l', '.');3
Bad Boy;('2', '4');1
Bad Boy;('4', 'h');1
Bad Boy;(' ', '.');1
Bad Boy;(' ', '1');5
Bad Boy;('1', '8');1
Bad Boy;('8', '3');1
Bad Boy;('0', 'h');1
Bad Boy;(' ', '@');1
Bad Boy;('@', ' ');1
Bad Boy;('B', 'a');1
Bad Boy;('b', 'y');3
Bad Boy;('C', 'o');1
Bad Boy;('I', 's');2
Bad Boy;('J', 'a');1
Bad Boy;('k', 't');1
Bad Boy;('1', '?');1
Bad Boy;('g', '?');1
Bad Boy;('o', 'b');2
Bad Boy;('b', 'v');1
Bad Boy;('v', 'i');1
Bad Boy;('1', '5');1
Bad Boy;('5', ',');1
Bad Boy;(',', '0');1
Bad Boy;('B', 'e');1
Bad Boy;(' ', 'U');1
Bad Boy;('U', ' ');1
Bad Boy;('w', '.');1
Bad Boy;(' ', 'A');3
Bad Boy;('A', 'p');1
Bad Boy;(' ', 'F');2
Bad Boy;('F', 'o');2
Bad Boy;('o', 'l');3
Bad Boy;('l', 's');1
Bad Boy;(' ', 'j');2
Bad Boy;('j', 'o');1
Bad Boy;(' ', 'R');2
Bad Boy;('R', 'e');2
Bad Boy;('k', '?');2
Bad Boy;('a', 'v');1
Bad Boy;('d', '.');3
Bad Boy;('f', 'l');1
Bad Boy;('A', 'l');1
Bad Boy;('/', 'y');1
Bad Boy;('y', 'k');1
Bad Boy;('k', 'j');1
Bad Boy;('j', '9');1
Bad Boy;('9', 'W');1
Bad Boy;('W', 'o');1
Bad Boy;('r', 'V');1
Bad Boy;('V', 'V');1
Bad Boy;('V', 'Q');1
Bad Boy;('Q', 'b');1
Bad Boy;('b', 'V');1
Bad Boy;('V', 'h');1
Bad Boy;('h', '3');1
Bad Boy;('3', 'k');1
Bad Boy;('k', 'd');1
Bad Boy;('d', '7');1
Bad Boy;('7', ' ');1
Bad Boy;('A', 'm');1
Bad Boy;('o', 'v');1
Bad Boy;('.', '?');1
Bad Boy;('l', '?');1
Bad Boy;(' ', 'L');1
Bad Boy;('L', 'o');1
Bad Boy;('1', '0');2
Bad Boy;('n', 'c');1
Bad Boy;('i', 'k');3
Bad Boy;('u', 'd');2
Bad Boy;('C', 'h');2
Bad Boy;('l', 'm');2
Bad Boy;('t', 'y');4
Bad Boy;('b', ' ');1
Bad Boy;(' ', 'q');1
Bad Boy;('q', 'u');1
Bad Boy;('u', 'a');1
Bad Boy;('r', 'c');1
Bad Boy;('j', 'u');1
Bad Boy;('w', 'n');2
Bad Boy;('n', 'l');1
Bad Boy;('o', 'a');1
Bad Boy;('m', 'p');1
Bad Boy;('D', 'u');1
Bad Boy;('N', 'i');1
Bad Boy;('D', 'o');2
Bad Boy;('h', 'l');1
Bad Boy;('p', 'y');1
Bad Boy;('h', '?');2
Bad Boy;('y', '?');1
Bad Boy;('T', 'i');1
Bad Boy;('T', 'o');1
Bad Boy;('u', 'b');1
Bad Boy;('b', 'l');1
Bad Boy;('a', 'u');1
Bad Boy;('y', '!');1
Bad Boy;('!', '!');3
Bad Boy;('g', 'i');1
Bad Boy;('g', 'u');1
Bad Boy;('s', 'k');1
Bad Boy;('m', '?');1
Bad Boy;('p', '?');1
Bad Boy;('n', 'y');1
Bad Boy;('f', '?');1
Bad Boy;('r', '\\');1
Bad Boy;('n', 'H');1
Bad Boy;(' ', '7');1
Bad Boy;('7', '5');1
Bad Boy;('5', '0');1
Bad Boy;('r', '4');1
Bad Boy;('4', ' ');1
Bad Boy;('a', 'f');1
Maverick SOB;('O', 'h');2
Maverick SOB;('h', ' ');11
Maverick SOB;(' ', 'j');6
Maverick SOB;('j', 'e');1
Maverick SOB;('e', 'e');19
Maverick SOB;('e', 'z');1
Maverick SOB;('z', '.');1
Maverick SOB;('.', ' ');65
Maverick SOB;(' ', 'U');1
Maverick SOB;('U', ' ');1
Maverick SOB;(' ', 'r');9
Maverick SOB;('r', ' ');28
Maverick SOB;(' ', 'e');8
Maverick SOB;('e', 'v');3
Maverick SOB;('v', 'e');13
Maverick SOB;('e', 'r');34
Maverick SOB;('r', 'y');4
Maverick SOB;('y', 'w');1
Maverick SOB;('w', 'h');8
Maverick SOB;('h', 'e');37
Maverick SOB;('r', 'e');32
Maverick SOB;('e', ' ');89
Maverick SOB;(' ', 'W');14
Maverick SOB;('W', 'h');5
Maverick SOB;('h', 'a');21
Maverick SOB;('a', 't');18
Maverick SOB;('t', ' ');62
Maverick SOB;(' ', 'd');19
Maverick SOB;('d', 'o');14
Maverick SOB;('o', ' ');31
Maverick SOB;(' ', 'y');32
Maverick SOB;('y', 'o');26
Maverick SOB;('o', 'u');40
Maverick SOB;('u', ' ');28
Maverick SOB;(' ', 'w');23
Maverick SOB;('w', 'a');6
Maverick SOB;('a', 'n');73
Maverick SOB;('n', 't');10
Maverick SOB;(' ', 'm');32
Maverick SOB;('m', 'a');12
Maverick SOB;('n', '?');2
Maverick SOB;('?', ' ');24
Maverick SOB;(' ', 'O');17
Maverick SOB;('O', 'K');17
Maverick SOB;('K', ' ');14
Maverick SOB;(' ', 'b');21
Maverick SOB;('b', 'u');8
Maverick SOB;('u', 't');11
Maverick SOB;(' ', 'h');17
Maverick SOB;('h', 'o');4
Maverick SOB;('o', 'w');18
Maverick SOB;('w', ' ');8
Maverick SOB;(' ', 'c');18
Maverick SOB;('c', 'a');12
Maverick SOB;('n', ' ');69
Maverick SOB;(' ', 'I');21
Maverick SOB;('I', ' ');17
Maverick SOB;(' ', 't');62
Maverick SOB;('t', 'r');4
Maverick SOB;('r', 'u');3
Maverick SOB;('u', 's');10
Maverick SOB;('s', 't');19
Maverick SOB;(' ', 'a');36
Maverick SOB;('a', 'f');2
Maverick SOB;('f', 't');3
Maverick SOB;('t', 'e');10
Maverick SOB;(' ', 'l');15
Maverick SOB;('l', 'a');9
Maverick SOB;('a', 's');10
Maverick SOB;('t', 'i');15
Maverick SOB;('i', 'm');6
Maverick SOB;('m', 'e');25
Maverick SOB;('e', '?');3
Maverick SOB;(' ', 'Y');15
Maverick SOB;('Y', 'o');6
Maverick SOB;('e', 'a');25
Maverick SOB;('a', 'l');18
Maverick SOB;('l', 'l');19
Maverick SOB;('l', 'y');10
Maverick SOB;('y', ' ');22
Maverick SOB;(' ', 's');32
Maverick SOB;('s', 'c');2
Maverick SOB;('c', 'r');1
Maverick SOB;('e', 'w');2
Maverick SOB;('w', 'e');6
Maverick SOB;('e', 'd');14
Maverick SOB;('d', ' ');22
Maverick SOB;(' ', 'u');9
Maverick SOB;('u', 'p');7
Maverick SOB;('p', '.');3
Maverick SOB;('.', '.');46
Maverick SOB;(' ', 'H');4
Maverick SOB;('H', 'a');1
Maverick SOB;('a', ' ');10
Maverick SOB;('y', 'e');5
Maverick SOB;('r', 'i');11
Maverick SOB;('i', 'g');5
Maverick SOB;('g', 'h');5
Maverick SOB;('h', 't');4
Maverick SOB;('t', '.');7
Maverick SOB;('H', 'o');2
Maverick SOB;('n', 'y');3
Maverick SOB;('e', 's');21
Maverick SOB;('s', ' ');40
Maverick SOB;('a', 'v');7
Maverick SOB;('a', 'r');16
Maverick SOB;('r', 'd');1
Maverick SOB;('t', 'h');34
Maverick SOB;('s', 'h');6
Maverick SOB;('h', 'i');15
Maverick SOB;('i', 't');16
Maverick SOB;('b', 'e');12
Maverick SOB;('e', 'f');2
Maverick SOB;('f', 'o');8
Maverick SOB;('o', 'r');15
Maverick SOB;('e', '.');17
Maverick SOB;(' ', '≡');10
Maverick SOB;('≡', 'ƒ');10
Maverick SOB;('ƒ', 'ñ');1
Maverick SOB;('ñ', 'ö');1
Maverick SOB;('ö', ' ');2
Maverick SOB;(' ', 'n');54
Maverick SOB;('n', 'e');13
Maverick SOB;('t', 'o');25
Maverick SOB;('s', 'p');2
Maverick SOB;('p', 'e');4
Maverick SOB;('a', 'k');6
Maverick SOB;('k', ' ');13
Maverick SOB;(' ', 'G');9
Maverick SOB;('G', 'o');8
Maverick SOB;('o', 'o');10
Maverick SOB;('o', 's');4
Maverick SOB;('s', 'e');15
Maverick SOB;('a', 'b');4
Maverick SOB;('b', 'o');2
Maverick SOB;('i', 's');14
Maverick SOB;('s', '.');7
Maverick SOB;(' ', 'B');6
Maverick SOB;('B', 'a');1
Maverick SOB;('a', 'd');5
Maverick SOB;('B', 'o');1
Maverick SOB;('o', 'y');1
Maverick SOB;('y', '.');4
Maverick SOB;('a', 'g');7
Maverick SOB;('g', 'r');4
Maverick SOB;(' ', 'g');12
Maverick SOB;('g', 'i');2
Maverick SOB;('i', 'v');4
Maverick SOB;('e', 'c');2
Maverick SOB;('c', 'o');2
Maverick SOB;('o', 'n');16
Maverick SOB;('n', 'd');11
Maverick SOB;('c', 'h');8
Maverick SOB;('n', 'c');1
Maverick SOB;('c', 'e');4
Maverick SOB;('e', ',');2
Maverick SOB;(',', ' ');8
Maverick SOB;(' ', ' ');5
Maverick SOB;('y', 't');2
Maverick SOB;('i', 'n');34
Maverick SOB;('n', 'g');19
Maverick SOB;('g', ' ');18
Maverick SOB;('s', 'a');3
Maverick SOB;('a', 'y');5
Maverick SOB;('K', '?');3
Maverick SOB;(' ', 'D');6
Maverick SOB;('D', 'e');2
Maverick SOB;('o', 'd');5
Maverick SOB;('d', ',');1
Maverick SOB;(' ', 'p');14
Maverick SOB;('p', 'l');6
Maverick SOB;('l', 'e');20
Maverick SOB;('k', 'e');11
Maverick SOB;('s', 'u');6
Maverick SOB;('u', 'r');9
Maverick SOB;('n', "'");4
Maverick SOB;("'", 't');4
Maverick SOB;(' ', 'S');10
Maverick SOB;('S', 'i');1
Maverick SOB;('i', 'c');7
Maverick SOB;('c', 'k');14
Maverick SOB;(' ', 'o');24
Maverick SOB;('o', 'f');9
Maverick SOB;('f', ' ');10
Maverick SOB;('c', 'l');1
Maverick SOB;('n', 'i');4
Maverick SOB;('p', ' ');6
Maverick SOB;('o', 't');10
Maverick SOB;('r', 's');5
Maverick SOB;(' ', 'F');4
Maverick SOB;('F', 'i');2
Maverick SOB;('i', 'r');1
Maverick SOB;('j', 'o');3
Maverick SOB;('o', 'b');5
Maverick SOB;('b', '.');3
Maverick SOB;('a', 'c');10
Maverick SOB;('r', 'o');4
Maverick SOB;('I', 'n');1
Maverick SOB;('c', 'i');1
Maverick SOB;('t', 'y');4
Maverick SOB;('y', '?');6
Maverick SOB;(' ', 'N');5
Maverick SOB;('N', 'a');1
Maverick SOB;('a', 'h');1
Maverick SOB;('t', "'");4
Maverick SOB;("'", 's');7
Maverick SOB;('s', 'o');9
Maverick SOB;('o', 'm');9
Maverick SOB;('e', 'o');2
Maverick SOB;('e', 'l');9
Maverick SOB;('l', 's');4
Maverick SOB;('e', "'");2
Maverick SOB;('t', 'u');2
Maverick SOB;('r', 'f');1
Maverick SOB;('f', '.');1
Maverick SOB;('W', 'e');4
Maverick SOB;('u', 'b');1
Maverick SOB;('r', 'b');1
Maverick SOB;('b', 's');3
Maverick SOB;('g', 'e');7
Maverick SOB;('e', 't');15
Maverick SOB;('d', '.');4
Maverick SOB;(' ', 'L');4
Maverick SOB;('L', 'o');1
Maverick SOB;('o', 'c');2
Maverick SOB;('l', ' ');19
Maverick SOB;('n', 'u');2
Maverick SOB;('u', 'm');1
Maverick SOB;('m', 'b');2
Maverick SOB;('n', 'l');2
Maverick SOB;(' ', 'M');5
Maverick SOB;('M', 'a');2
Maverick SOB;('y', 'b');2
Maverick SOB;('m', 'u');2
Maverick SOB;('u', 'c');2
Maverick SOB;('t', '?');2
Maverick SOB;('n', 'a');42
Maverick SOB;('y', 'a');1
Maverick SOB;('n', 'k');2
Maverick SOB;('k', '?');1
Maverick SOB;('Y', 'e');9
Maverick SOB;('S', 'e');3
Maverick SOB;('r', 't');2
Maverick SOB;('t', 'l');2
Maverick SOB;('B', 'r');2
Maverick SOB;('p', 'a');4
Maverick SOB;('k', 'a');2
Maverick SOB;('ƒ', 'ô');1
Maverick SOB;('ô', 'ª');1
Maverick SOB;('ª', ' ');1
Maverick SOB;(' ', 'i');16
Maverick SOB;('i', 'd');3
Maverick SOB;('d', 'e');10
Maverick SOB;('l', 'o');5
Maverick SOB;('o', 'k');4
Maverick SOB;('l', 'i');10
Maverick SOB;('i', 'k');4
Maverick SOB;('j', 'u');1
Maverick SOB;('p', 'i');2
Maverick SOB;('k', 'i');4
Maverick SOB;('e', 'g');1
Maverick SOB;('g', 'u');1
Maverick SOB;('u', 'l');3
Maverick SOB;('r', 'c');1
Maverick SOB;('l', '.');2
Maverick SOB;(' ', 'T');5
Maverick SOB;('T', 'h');4
Maverick SOB;('e', 'x');2
Maverick SOB;('x', 'p');1
Maverick SOB;('e', 'n');13
Maverick SOB;('n', 's');3
Maverick SOB;('s', 'i');3
Maverick SOB;('r', 'a');4
Maverick SOB;('F', 'u');1
Maverick SOB;('u', 'n');2
Maverick SOB;('n', 'n');1
Maverick SOB;('i', 'l');13
Maverick SOB;('n', 'o');13
Maverick SOB;('u', 'g');1
Maverick SOB;(' ', 'k');4
Maverick SOB;('p', 'o');2
Maverick SOB;('w', 'd');2
Maverick SOB;('v', 'a');3
Maverick SOB;('a', 'i');4
Maverick SOB;('b', 'l');3
Maverick SOB;(' ', '$');1
Maverick SOB;('$', '1');1
Maverick SOB;('1', '1');1
Maverick SOB;('1', '0');4
Maverick SOB;('0', ',');2
Maverick SOB;(',', '0');3
Maverick SOB;('0', '0');10
Maverick SOB;('0', ' ');3
Maverick SOB;('w', 'i');7
Maverick SOB;(' ', 'f');10
Maverick SOB;('n', 'f');1
Maverick SOB;('f', 'l');1
Maverick SOB;('i', 'o');3
Maverick SOB;('n', '.');6
Maverick SOB;('f', 'i');1
Maverick SOB;(' ', 'q');3
Maverick SOB;('q', 'u');3
Maverick SOB;('u', 'a');3
Maverick SOB;('y', ',');1
Maverick SOB;(' ', 'v');2
Maverick SOB;('a', 'p');1
Maverick SOB;('m', 'y');3
Maverick SOB;('f', 'r');2
Maverick SOB;('i', 'e');2
Maverick SOB;('c', 'u');1
Maverick SOB;('w', 'n');2
Maverick SOB;('d', 'r');1
Maverick SOB;('l', 'u');2
Maverick SOB;('u', 'e');2
Maverick SOB;('T', 'i');1
Maverick SOB;('k', '.');2
Maverick SOB;(' ', 'J');2
Maverick SOB;('J', 'u');2
Maverick SOB;('u', '.');2
Maverick SOB;('L', 'e');1
Maverick SOB;('d', 'n');2
Maverick SOB;('s', 'd');1
Maverick SOB;('d', 'a');3
Maverick SOB;('g', '.');2
Maverick SOB;('ƒ', 'æ');3
Maverick SOB;('æ', 'î');1
Maverick SOB;('î', ' ');1
Maverick SOB;('b', 'r');2
Maverick SOB;('r', '.');2
Maverick SOB;(' ', '1');4
Maverick SOB;('0', '.');1
Maverick SOB;('.', 'm');1
Maverick SOB;('m', 'i');5
Maverick SOB;('I', "'");2
Maverick SOB;("'", 'm');2
Maverick SOB;('m', ' ');6
Maverick SOB;('w', '.');3
Maverick SOB;('B', 'l');1
Maverick SOB;('j', 'a');1
Maverick SOB;('?', '?');18
Maverick SOB;('æ', 'Ç');1
Maverick SOB;('Ç', ' ');1
Maverick SOB;(' ', 'P');1
Maverick SOB;('P', 'l');1
Maverick SOB;('o', 'i');3
Maverick SOB;('s', 's');4
Maverick SOB;('o', 'l');5
Maverick SOB;('W', 'o');1
Maverick SOB;('?', '\\');1
Maverick SOB;('\\', 'n');3
Maverick SOB;('n', 'O');1
Maverick SOB;(' ', 'Γ');1
Maverick SOB;('Γ', '£');1
Maverick SOB;('£', 'ö');1
Maverick SOB;('a', 'm');6
Maverick SOB;('m', 'n');3
Maverick SOB;('p', 'u');1
Maverick SOB;(' ', 'A');5
Maverick SOB;('A', 'r');1
Maverick SOB;('t', 'c');1
Maverick SOB;(' ', '?');2
Maverick SOB;('S', 'o');2
Maverick SOB;('u', 'f');1
Maverick SOB;('f', 'f');2
Maverick SOB;('f', '?');1
